"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,0.242875,0.205125,0.184034125533211
2020-04-15,25,0.4,7.794,4781,0.008,69.44,0.24675,0.205125,0.202925045703839
2020-04-16,22,0.4,7.445,8626,0.004,69.44,0.2395625,0.20625,0.161515151515151
2020-04-17,60,0.4,7.135,11527,0.004,69.44,0.24225,0.22425,0.080267558528428
2020-04-18,46,0.39,6.864,14980,0.003,69.44,0.24225,0.23575,0.0275715800636266
2020-04-19,42,0.38,6.592,14589,0.003,69.44,0.24225,0.243,-0.00308641975308642
2020-04-20,13,0.36,6.476,10635,0.001,69.44,0.24225,0.243,-0.00308641975308642
2020-04-21,22,0.36,6.243,8373,0.003,69.44,0.23975,0.243,-0.0133744855967078
2020-04-22,7,0.35,5.894,12430,0.001,69.44,0.24025,0.243,-0.0113168724279836
2020-04-23,10,0.36,5.351,14128,0.001,69.44,0.245625,0.243,0.0108024691358025
2020-04-24,15,0.37,5.002,15705,0.001,69.44,0.2415,0.242875,-0.00566134843026254
2020-04-25,17,0.39,4.459,11887,0.002,69.44,0.2415,0.24675,-0.0212765957446809
2020-04-26,20,0.43,4.382,12193,0.001,69.44,0.2415,0.2395625,0.00808765979650396
2020-04-27,7,0.46,4.227,10613,0.001,69.44,0.253625,0.24225,0.0469556243550051
2020-04-28,23,0.51,3.606,13616,0.001,69.44,0.25275,0.24225,0.0433436532507741
2020-04-29,8,0.55,3.451,13731,0.001,69.44,0.273875,0.24225,0.130546955624355
2020-04-30,14,0.59,3.219,19231,0.001,69.44,0.293,0.24225,0.209494324045408
2020-05-01,12,0.64,3.063,25227,0,69.44,0.301125,0.23975,0.25599582898853
2020-05-02,21,0.7,2.908,22715,0.001,69.44,0.301125,0.24025,0.253381893860562
2020-05-03,23,0.77,2.714,21524,0.001,69.44,0.301125,0.245625,0.225954198473283
2020-05-04,25,0.81,2.559,17107,0.002,69.44,0.306981125,0.2415,0.271143374741201
2020-05-05,28,0.83,2.404,14542,0.002,69.44,0.331487375,0.2415,0.372618530020704
2020-05-06,19,0.81,2.249,23900,0.001,69.44,0.322862375,0.2415,0.336904244306418
2020-05-07,19,0.77,2.172,33893,0.001,69.44,0.315362375,0.253625,0.243419911286348
2020-05-08,5,0.75,1.978,34701,0.001,69.44,0.318593625,0.25275,0.260508902077151
2020-05-09,21,0.76,1.667,38206,0,69.44,0.318593625,0.273875,0.163281150159744
2020-05-10,9,0.77,1.9,32416,0,69.44,0.318593625,0.293,0.0873502559726963
2020-05-11,22,0.79,1.823,27247,0,69.44,0.337587375,0.301125,0.121087173100872
2020-05-12,10,0.8,1.939,22808,0.001,69.44,0.341218625,0.301125,0.133146118721461
2020-05-13,9,0.82,1.978,31098,0,69.44,0.338724875,0.301125,0.124864674138647
2020-05-14,30,0.85,1.784,34274,0,69.44,0.336974875,0.306981125,0.097705518539617
2020-05-15,16,0.81,1.9,40517,0.001,65.74,0.345974875,0.331487375,0.0437045302253215
2020-05-16,9,0.76,1.939,31836,0.001,64.35,0.345974875,0.322862375,0.0715862292718375
2020-05-17,10,0.75,1.745,26474,0,64.35,0.345974875,0.315362375,0.0970708696622417
2020-05-18,14,0.74,1.823,20742,0,67.13,0.339356125,0.318593625,0.065169226157617
2020-05-19,4,0.72,1.667,24287,0,67.13,0.342112375,0.318593625,0.0738205292086433
2020-05-20,9,0.74,1.59,25884,0,67.13,0.342481125,0.318593625,0.0749779597755605
2020-05-21,14,0.76,1.512,25821,0,67.13,0.337731125,0.337587375,0.000425815686975847
2020-05-22,4,0.77,1.357,32855,0,67.13,0.348974875,0.341218625,0.0227310276512603
2020-05-23,15,0.8,1.28,21679,0.001,67.13,0.348974875,0.338724875,0.0302605469999804
2020-05-24,0,0.82,1.202,32273,0,67.13,0.348974875,0.336974875,0.0356109635770323
2020-05-25,12,0.89,1.163,19304,0,65.28,0.367599875,0.345974875,0.0625045388050216
2020-05-26,13,0.96,1.163,44465,0.001,65.28,0.369724875,0.345974875,0.0686466033118734
2020-05-27,11,0.99,1.125,49388,0,65.28,0.367224875,0.345974875,0.0614206450685183
2020-05-28,15,1.02,0.892,30265,0.001,65.28,0.361724875,0.339356125,0.065915268215654
2020-05-29,19,1.03,0.853,30348,0.001,63.43,0.371593625,0.342112375,0.0861741701100405
2020-05-30,8,0.97,0.776,33326,0,63.43,0.371593625,0.342481125,0.0850046845647333
2020-05-31,10,0.97,0.776,25829,0,63.43,0.371593625,0.337731125,0.100264670601503
2020-06-01,19,0.96,1.008,17824,0,62.04,0.36128425,0.348974875,0.0352729548223207
2020-06-02,8,0.9,0.969,18276,0.001,62.04,0.363724875,0.348974875,0.0422666531508894
2020-06-03,11,0.86,0.853,22461,0,62.04,0.368587375,0.348974875,0.0562003210116487
2020-06-04,7,0.82,0.814,33419,0,62.04,0.372062375,0.367599875,0.0121395579908725
2020-06-05,5,0.79,0.814,31817,0,62.04,0.393943625,0.369724875,0.0655047892030527
2020-06-06,7,0.77,0.698,11585,0,62.04,0.393943625,0.367224875,0.0727585515550928
2020-06-07,6,0.82,0.737,26887,0,62.04,0.393943625,0.361724875,0.0890697660756674
2020-06-08,2,0.86,0.698,16225,0,62.04,0.393943625,0.371593625,0.0601463493890673
2020-06-09,7,0.96,0.776,17170,0,60.19,0.403393625,0.371593625,0.0855773561777331
2020-06-10,11,1.06,0.698,29455,0,60.19,0.398474875,0.371593625,0.0723404498664368
2020-06-11,4,1.15,0.659,31472,0,60.19,0.386899875,0.36128425,0.0709015823413281
2020-06-12,5,1.28,0.62,34215,0,50.46,0.380043625,0.363724875,0.0448656419223458
2020-06-13,26,1.43,0.62,37226,0,50.46,0.380043625,0.368587375,0.0310815040802741
2020-06-14,15,1.48,0.659,29800,0.001,50.46,0.380043625,0.372062375,0.0214513762645309
2020-06-15,12,1.51,0.659,15970,0.001,50.46,0.380574875,0.393943625,-0.0339356932099105
2020-06-16,23,1.55,0.62,18448,0.001,50.46,0.381793625,0.393943625,-0.0308419764376184
2020-06-17,21,1.54,0.543,35160,0.001,50.46,0.382637375,0.393943625,-0.0287001725183394
2020-06-18,18,1.54,0.582,41495,0.001,50.46,0.383906125,0.393943625,-0.0254795340323124
2020-06-19,2,1.55,0.659,42708,0,50.46,0.379299875,0.403393625,-0.0597276419526956
2020-06-20,50,1.63,0.62,35173,0.001,50.46,0.379299875,0.398474875,-0.0481209762597955
2020-06-21,13,1.6,0.698,35946,0.001,50.46,0.379299875,0.386899875,-0.0196433250333823
2020-06-22,18,1.63,0.737,66525,0.001,50.46,0.374168625,0.380043625,-0.0154587516104237
2020-06-23,29,1.68,0.62,24972,0.001,52.31,0.372556125,0.380043625,-0.0197016855630718
2020-06-24,37,1.74,0.62,47603,0.001,52.31,0.392056125,0.380043625,0.0316082133991854
2020-06-25,37,1.79,0.465,51917,0.001,52.31,0.376068625,0.380574875,-0.011840639768981
2020-06-26,6,1.85,0.465,49498,0.001,52.31,0.388687375,0.381793625,0.0180562208182496
2020-06-27,85,1.99,0.427,54222,0.001,52.31,0.388687375,0.382637375,0.0158113148251657
2020-06-28,78,2.05,0.582,43114,0.001,52.31,0.388687375,0.383906125,0.0124542165093094
2020-06-29,70,2.03,0.543,36520,0.002,52.31,0.397518625,0.379299875,0.0480325758082573
2020-06-30,86,2.01,0.698,40287,0.002,52.31,0.407943625,0.379299875,0.0755174253616615
2020-07-01,81,1.98,0.931,49941,0.002,68.98,0.409074875,0.379299875,0.0784998940482118
2020-07-02,65,1.99,1.047,57859,0.001,68.98,0.404799875,0.374168625,0.0818648276562472
2020-07-03,194,2.06,1.125,54078,0.001,68.98,0.398799875,0.372556125,0.0704424064964709
2020-07-04,183,1.97,1.163,50176,0.002,68.98,0.398799875,0.392056125,0.0172009811095288
2020-07-05,140,1.89,1.318,45399,0.002,68.98,0.398799875,0.376068625,0.0604444202171878
2020-07-06,172,1.83,1.512,43865,0.003,68.98,0.396056125,0.388687375,0.0189580379347283
2020-07-07,131,1.76,1.784,43807,0.005,68.98,0.378043625,0.388687375,-0.0273838325723855
2020-07-08,170,1.73,1.745,55299,0.003,75.46,0.373037375,0.388687375,-0.0402637209402544
2020-07-09,318,1.72,2.094,54425,0.003,75.46,0.385124875,0.397518625,-0.0311777844371444
2020-07-10,179,1.64,2.133,59437,0.005,75.46,0.399518625,0.407943625,-0.0206523634239903
2020-07-11,244,1.57,2.598,53397,0.004,75.46,0.399518625,0.409074875,-0.0233606378294438
2020-07-12,183,1.54,3.568,51823,0.005,75.46,0.399518625,0.404799875,-0.0130465702342422
2020-07-13,271,1.53,3.49,42300,0.005,71.76,0.400499875,0.398799875,0.00426278970122541
2020-07-14,236,1.51,4.304,44449,0.007,71.76,0.387493625,0.398799875,-0.0283506859173414
2020-07-15,323,1.5,4.421,59904,0.004,71.76,0.396331125,0.398799875,-0.0061904482793532
2020-07-16,423,1.48,4.886,65575,0.005,68.06,0.396362375,0.396056125,0.000773248993434978
2020-07-17,208,1.42,4.459,62748,0.007,68.06,0.394849875,0.378043625,0.0444558481841878
2020-07-18,361,1.39,5.235,66094,0.004,68.06,0.394849875,0.373037375,0.0584726932522512
2020-07-19,267,1.38,6.049,59905,0.006,68.06,0.394849875,0.385124875,0.0252515499031322
2020-07-20,359,1.38,7.057,57962,0.005,68.06,0.395712375,0.399518625,-0.00952709025768201
2020-07-21,466,1.37,8.298,56310,0.007,68.06,0.399087375,0.399518625,-0.0010794240193434
2020-07-22,408,1.33,8.182,59794,0.008,68.06,0.386093625,0.399518625,-0.0336029390369473
2020-07-23,293,1.29,8.415,69308,0.006,68.06,0.385612375,0.400499875,-0.037172296246035
2020-07-24,355,1.29,9.268,75584,0.004,68.06,0.386724875,0.387493625,-0.00198390360615606
2020-07-25,453,1.29,9.345,64084,0.006,68.06,0.386724875,0.396331125,-0.0242379399296484
2020-07-26,532,1.29,10.043,75619,0.006,68.06,0.386724875,0.396362375,-0.0243148709561546
2020-07-27,368,1.27,10.664,51966,0.011,68.06,0.396293625,0.394849875,0.00365645297469061
2020-07-28,279,1.25,12.525,44971,0.009,68.06,0.388593625,0.394849875,-0.0158446295569931
2020-07-29,716,1.28,12.797,66188,0.006,68.06,0.375374875,0.394849875,-0.0493225431564339
2020-07-30,605,1.25,14.193,64853,0.012,68.06,0.369699875,0.395712375,-0.0657358769737742
2020-07-31,377,1.2,15.55,75203,0.009,68.06,0.369068625,0.399087375,-0.0752184906876595
2020-08-01,615,1.17,15.821,68919,0.006,68.06,0.369068625,0.386093625,-0.0440955221677126
2020-08-02,423,1.13,17.023,57158,0.012,71.76,0.369068625,0.385612375,-0.0429025391106808
2020-08-03,412,1.1,18.729,65529,0.007,75.46,0.366474875,0.386724875,-0.0523628070214
2020-08-04,715,1.08,21.948,51706,0.009,75.46,0.373349875,0.386724875,-0.0345853108104309
2020-08-05,445,1.02,23.266,70464,0.01,75.46,0.365131125,0.386724875,-0.0558374994626348
2020-08-06,382,0.97,24.507,80008,0.006,75.46,0.343881125,0.396293625,-0.132256732618396
2020-08-07,426,0.93,25.554,91937,0.005,75.46,0.346506125,0.388593625,-0.108307232266098
2020-08-08,386,0.89,25.516,40197,0.006,75.46,0.346506125,0.375374875,-0.0769064525163012
2020-08-09,313,0.86,25.748,93191,0.004,75.46,0.346506125,0.369699875,-0.062736699599912
2020-08-10,316,0.84,26.097,61132,0.006,75.46,0.357193625,0.369068625,-0.0321755879411315
2020-08-11,414,0.82,26.601,61626,0.006,75.46,0.348118625,0.369068625,-0.0567645109361437
2020-08-12,231,0.79,26.601,61172,0.007,75.46,0.344168625,0.369068625,-0.0674671275565621
2020-08-13,384,0.79,26.33,68441,0.004,75.46,0.339674875,0.366474875,-0.0731291606279966
2020-08-14,293,0.77,26.407,70629,0.005,75.46,0.346949875,0.373349875,-0.070711152642009
2020-08-15,252,0.75,26.369,63370,0.005,75.46,0.346949875,0.365131125,-0.0497937555994439
2020-08-16,271,0.73,26.136,53774,0.005,75.46,0.346949875,0.343881125,0.00892386867700287
2020-08-17,215,0.71,26.446,38539,0.008,75.46,0.354118625,0.346506125,0.0219693086233325
2020-08-18,216,0.69,26.912,44516,0.005,75.46,0.353118625,0.346506125,0.0190833567516302
2020-08-19,247,0.68,24.973,59882,0.004,75.46,0.345756125,0.346506125,-0.00216446390377667
2020-08-20,171,0.67,25.089,68336,0.004,75.46,0.344374875,0.357193625,-0.0358873986062881
2020-08-21,195,0.66,24.469,71149,0.003,75.46,0.354849875,0.348118625,0.0193360811993328
2020-08-22,209,0.65,23.422,67697,0.003,75.46,0.354849875,0.344168625,0.0310349323678183
2020-08-23,104,0.63,25.554,58910,0.004,75.46,0.354849875,0.339674875,0.044675073480192
2020-08-24,138,0.62,24.973,51447,0.002,75.46,0.355324875,0.346949875,0.0241389336139694
2020-08-25,151,0.61,23.383,56675,0.004,75.46,0.342593625,0.346949875,-0.0125558483051767
2020-08-26,118,0.6,21.638,71703,0.002,75.46,0.357093625,0.346949875,0.0292369322802033
2020-08-27,126,0.6,21.056,86268,0.001,75.46,0.351556125,0.354118625,-0.00723627569716228
2020-08-28,99,0.6,19.776,79556,0.002,75.46,0.353968625,0.353118625,0.00240712310204543
2020-08-29,123,0.6,19.427,67555,0.002,75.46,0.353968625,0.345756125,0.0237522907222541
2020-08-30,76,0.6,18.652,48438,0.003,75.46,0.353968625,0.344374875,0.0278584493134116
2020-08-31,73,0.61,17.45,46224,0.002,75.46,0.347362375,0.354849875,-0.0211004724180896
2020-09-01,104,0.62,16.752,41379,0.002,75.46,0.345749875,0.354849875,-0.0256446476133042
2020-09-02,126,0.63,15.162,63963,0.002,75.46,0.346112375,0.354849875,-0.0246230888484886
2020-09-03,87,0.62,13.844,136194,0.002,75.46,0.345374875,0.355324875,-0.028002542743454
2020-09-04,71,0.61,12.641,70961,0.001,75.46,0.345531125,0.342593625,0.00857429848555992
2020-09-05,71,0.6,12.021,63838,0.001,75.46,0.345531125,0.357093625,-0.0323794635090448
2020-09-06,43,0.59,11.401,66560,0.001,75.46,0.345531125,0.351556125,-0.0171380885484501
2020-09-07,52,0.59,10.198,36086,0.001,75.46,0.350256125,0.353968625,-0.0104882177057358
2020-09-08,92,0.6,8.57,36963,0.002,75.46,0.351756125,0.353968625,-0.00625055398624668
2020-09-09,59,0.59,7.562,58936,0.002,75.46,0.373743625,0.353968625,0.0558665333686002
2020-09-10,40,0.58,6.282,60098,0.001,75.46,0.381393625,0.347362375,0.0979704552054607
